iter	Passed	Remaining
0	151	151747
1	152	76232
2	153	51040
3	154	38431
4	155	30951
5	156	25925
6	157	22391
7	158	19690
8	159	17566
9	160	15872
10	161	14491
11	162	13340
12	162	12361
13	163	11524
14	164	10823
15	165	10204
16	166	9639
17	167	9139
18	168	8696
19	169	8291
20	169	7923
21	170	7589
22	171	7285
23	172	7004
24	172	6745
25	174	6528
26	175	6316
27	176	6114
28	177	5932
29	178	5769
30	179	5604
31	180	5457
32	181	5320
33	182	5189
34	183	5064
35	184	4946
36	186	4841
37	187	4739
38	188	4639
39	189	4545
40	190	4460
41	191	4374
42	192	4291
43	193	4214
44	194	4135
45	195	4061
46	196	3990
47	197	3922
48	198	3859
49	200	3800
50	201	3741
51	202	3685
52	203	3629
53	204	3573
54	205	3524
55	206	3476
56	207	3429
57	208	3382
58	209	3337
59	210	3293
60	211	3253
61	212	3213
62	213	3173
63	214	3137
64	215	3099
65	216	3063
66	217	3028
67	218	2994
68	219	2960
69	220	2927
70	221	2894
71	222	2862
72	223	2832
73	224	2813
74	225	2787
75	226	2759
76	227	2731
77	228	2703
78	229	2678
79	230	2654
80	231	2630
81	232	2606
82	233	2578
83	234	2556
84	235	2534
85	236	2513
86	237	2492
87	238	2471
88	239	2450
89	240	2429
90	241	2409
91	242	2391
92	243	2373
93	244	2355
94	245	2336
95	246	2318
96	247	2300
97	248	2283
98	249	2267
99	250	2251
100	251	2235
101	252	2219
102	253	2204
103	254	2188
104	254	2173
105	255	2158
106	257	2145
107	257	2130
108	258	2116
109	260	2103
110	261	2096
111	262	2084
112	263	2070
113	265	2059
114	266	2048
115	267	2037
116	268	2023
117	269	2011
118	270	1999
119	270	1987
120	271	1974
121	272	1962
122	273	1953
123	285	2017
124	286	2005
125	287	1997
126	288	1985
127	290	1976
128	291	1965
129	292	1955
130	293	1948
131	294	1938
132	295	1927
133	296	1917
134	297	1907
135	298	1897
136	299	1888
137	300	1879
138	301	1870
139	303	1861
140	304	1852
141	304	1841
142	305	1833
143	307	1825
144	308	1818
145	309	1809
146	310	1800
147	311	1791
148	312	1783
149	313	1775
150	314	1767
151	315	1759
152	316	1750
153	317	1742
154	318	1735
155	319	1727
156	320	1719
157	321	1710
158	321	1702
159	322	1695
160	323	1686
161	324	1680
162	325	1673
163	326	1665
164	327	1659
165	328	1651
166	329	1645
167	330	1638
168	331	1631
169	332	1624
170	333	1617
171	334	1611
172	335	1604
173	336	1599
174	337	1593
175	338	1586
176	339	1579
177	340	1572
178	341	1567
179	342	1561
180	343	1555
181	344	1549
182	345	1543
183	346	1537
184	347	1530
185	348	1525
186	349	1520
187	350	1514
188	351	1508
189	352	1503
190	353	1498
191	354	1492
192	355	1488
193	356	1482
194	357	1476
195	358	1471
196	359	1465
197	360	1460
198	361	1455
199	362	1450
200	363	1445
201	364	1439
202	365	1434
203	366	1428
204	367	1424
205	368	1419
206	369	1415
207	370	1410
208	371	1405
209	372	1400
210	373	1395
211	374	1391
212	375	1387
213	376	1382
214	377	1377
215	378	1373
216	379	1370
217	380	1366
218	381	1361
219	382	1357
220	383	1352
221	384	1348
222	385	1344
223	386	1340
224	387	1335
225	388	1331
226	389	1327
227	390	1323
